datestop,sex,race,age,city
02162004,M,Z,15,BROOKLYN
02172004,Z,Z,55,BROOKLYN
02182004,M,B,23,BROOKLYN
02192004,M,Q,36,BROOKLYN
02192004,Z,Q,34,BROOKLYN
02212004,F,Q,38,BROOKLYN
02212004,M,B,35,BROOKLYN
02232004,M,B,25,BROOKLYN
02262004,M,Q,22,BROOKLYN
02282004,M,Q,21,BROOKLYN
02282004,M,Q,20,BROOKLYN
02292004,M,B,22,BROOKLYN
03032004,M,Z,18,BROOKLYN
03042004,M,B,17,BROOKLYN
03052004,M,B,16,BROOKLYN
03052004,M,B,20,BROOKLYN
03052004,M,B,23,BROOKLYN
03052004,M,B,21,BROOKLYN
03122004,M,B,34,BROOKLYN
03122004,M,B,28,BROOKLYN
03142004,M,Q,47,BROOKLYN
03202004,M,B,19,BROOKLYN
03212004,M,B,33,BROOKLYN
03232004,M,B,38,BROOKLYN
03262004,M,B,17,BROOKLYN
03262004,M,Q,18,BROOKLYN
03282004,M,B,26,BROOKLYN
03282004,M,Q,62,BROOKLYN
03292004,M,B,23,BROOKLYN
04042004,M,B,40,BROOKLYN
04062004,M,W,23,BROOKLYN
04062004,M,W,28,BROOKLYN
04102004,M,Q,26,BROOKLYN
04132004,M,B,53,BROOKLYN
04232004,M,Z,29,BROOKLYN
04242004,M,B,18,BROOKLYN
04292004,M,B,33,BROOKLYN
05012004,M,B,16,BROOKLYN
05022004,M,B,20,BROOKLYN
05022004,M,Q,29,BROOKLYN
05052004,M,B,20,BROOKLYN
05172004,M,Q,16,BROOKLYN
05192004,M,B,16,BROOKLYN
05212004,M,Q,28,BROOKLYN
05212004,M,Q,26,BROOKLYN
05242004,M,B,23,BROOKLYN
05282004,M,B,18,BROOKLYN
06032004,M,B,24,BROOKLYN
06042004,M,B,45,BROOKLYN
06042004,M,B,23,BROOKLYN
06102004,M,W,29,BROOKLYN
